first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
puertas,ramirez,lucia,11Navial,2:47.92,fem,200,braza,alevin,2023-04-01,12:34:00
gamboa,duran,alejandra,12Navial,3:05.90,fem,200,braza,alevin,2023-04-01,12:34:00
aguilera,adame,maria,12Navial,3:08.53,fem,200,braza,alevin,2023-04-01,12:34:00
mateo,gómez,alba,12C.N. Estepona,3:14.87,fem,200,braza,alevin,2023-04-01,12:34:00
gallo,,mia,11C.N. Fuengirola,3:22.58,fem,200,braza,alevin,2023-04-01,12:34:00
bullón,gonzález,alba,12C.D.N. Inacua Malaga,3:25.55,fem,200,braza,alevin,2023-04-01,12:34:00
delgado,chamorro,edurne,11C.N. Villarrense,3:25.57,fem,200,braza,alevin,2023-04-01,12:34:00
cerezo,vidal,ariadna,11C.N. Villarrense,3:27.74,fem,200,braza,alevin,2023-04-01,12:34:00
gonzález,rodríguez,ana,12C.N. Axarquia,3:31.72,fem,200,braza,alevin,2023-04-01,12:34:00
millet,senciales,celia,11C.N. Axarquia,3:44.05,fem,200,braza,alevin,2023-04-01,12:34:00
rengifo,armenta,maría,11C.N. Los Barrios,3:47.98,fem,200,braza,alevin,2023-04-01,12:34:00
preciado,vazquez,valeria,12C.N. Los Barrios,4:10.10,fem,200,braza,alevin,2023-04-01,12:34:00
ali,marquez,maryam,12C.D.N. Ciudad De Algeciras,4:19.18,fem,200,braza,alevin,2023-04-01,12:34:00
