first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
rider,morales,rosa,11Navial,2:54.74,fem,200,espalda,alevin,2023-04-01,11:48:00
gómez,muñoz,sofía,11C.N. Estepona,2:56.73,fem,200,espalda,alevin,2023-04-01,11:48:00
ramirez,benitez,adriana,11Navial,2:57.41,fem,200,espalda,alevin,2023-04-01,11:48:00
gonzalez,perez,candela,11Navial,3:00.15,fem,200,espalda,alevin,2023-04-01,11:48:00
martínez,garcía,maya,12Navial,3:02.37,fem,200,espalda,alevin,2023-04-01,11:48:00
gómez,romero,jessika,11C.N. Axarquia,3:02.87,fem,200,espalda,alevin,2023-04-01,11:48:00
pazos,ruiz,natalia,11C.N. Estepona,3:03.57,fem,200,espalda,alevin,2023-04-01,11:48:00
santana,guzmán,carolina,12C.D.N. Inacua Malaga,3:14.03,fem,200,espalda,alevin,2023-04-01,11:48:00
antúnez,ruiz,elena,11C.N. Los Barrios,3:32.20,fem,200,espalda,alevin,2023-04-01,11:48:00
delgado,chamorro,edurne,11C.N. Villarrense,3:51.24,fem,200,espalda,alevin,2023-04-01,11:48:00
