name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
moreno,de,diego,06C.N. San Fernando,2:29.77,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
fatima,souissi,ayuso,93C.N. Cadiz,2:35.05,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
andrea,romero,domenech,04C.N. Bahia De Cadiz,2:38.38,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
julieta,ferrero,arevalo,06C.N. Estepona,2:43.09,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
irene,lozano,mandesis,09C.N. Los Barrios,2:47.57,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
andrea,guerrero,maese,04C.D.N. Ciudad De Algeciras,2:48.69,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
alma,ramos,romero,11C.D.N. Sanlucar,2:49.04,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
inés,olmedo,díaz,09C.N. Puerto Real,3:01.83,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
elena,vázquez,ossorio,09C.N. Los Barrios,3:08.58,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
natalia,aguilera,raya,09C.Kronos Natación Mijas,3:42.85,fem,200,espalda,absoluto,2023-04-15,11:40:00,True
