first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
rodriguez,ramos,alvaro,C.N.San Fernando,1:05.32,masc,100,espalda,alevin,2023-05-27,12:33:00,True
sanchez,abadía,mario,C.N.Dos Hermanas,1:07.15,masc,100,espalda,alevin,2023-05-27,12:33:00,True
lópez,galán,alejandro,C.N.Caballa - Ciudad De Ceuta,1:07.57,masc,100,espalda,alevin,2023-05-27,12:33:00,True
jimenez,romay,victor,C.N.Portuense,1:11.71,masc,100,espalda,alevin,2023-05-27,12:33:00,True
pelaez,manzano,victor,C.N.San Fernando,1:11.98,masc,100,espalda,alevin,2023-05-27,12:33:00,True
alabarce,manrique,ismael,C.N.Los Barrios,1:15.30,masc,100,espalda,alevin,2023-05-27,12:33:00,True
rodriguez,lopez,david,C.D.N.Sanlucar,1:16.02,masc,100,espalda,alevin,2023-05-27,12:33:00,True
barrientos,durbán,javier,C.N.Portuense,1:17.26,masc,100,espalda,alevin,2023-05-27,12:33:00,True
gilabert,ramírez,rafael,C.N.Portuense,1:20.11,masc,100,espalda,alevin,2023-05-27,12:33:00,True
lopez,gomez,pablo,C.N.Alcala,1:21.29,masc,100,espalda,alevin,2023-05-27,12:33:00,True
perez,mora,miguel,C.N.Cadiz,1:22.76,masc,100,espalda,alevin,2023-05-27,12:33:00,True
ramirez,ortiz,gonzalo,C.N.Dos Hermanas,1:22.78,masc,100,espalda,alevin,2023-05-27,12:33:00,True
moncayo,viruel,rodrigo,C.N.Caballa - Ciudad De Ceuta,1:23.25,masc,100,espalda,alevin,2023-05-27,12:33:00,True
caro,salva,alejandro,C.N.Portuense,1:24.95,masc,100,espalda,alevin,2023-05-27,12:33:00,True
rodriguez,muriel,jose,C.D.N.Ciudad De Algeciras,1:25.51,masc,100,espalda,alevin,2023-05-27,12:33:00,True
rivero,benitez,adrian,C.N.Ubrique,1:26.00,masc,100,espalda,alevin,2023-05-27,12:33:00,True
fuentes,diaz,daniel,DkvClub Natacion Jerez,1:26.98,masc,100,espalda,alevin,2023-05-27,12:33:00,True
romero,perez,gonzalo,C.N.Puerto Real,1:27.03,masc,100,espalda,alevin,2023-05-27,12:33:00,True
hickey,ayuso,patrick,C.N.Alcala,1:29.70,masc,100,espalda,alevin,2023-05-27,12:33:00,True
fernandez,escarcena,hugo,C.D.N.Ciudad De Algeciras,1:32.76,masc,100,espalda,alevin,2023-05-27,12:33:00,True
jiménez,rubio,juan,C.N.Los Barrios,1:33.91,masc,100,espalda,alevin,2023-05-27,12:33:00,True
rivas,royo,juan,C.N.San Roque,1:35.10,masc,100,espalda,alevin,2023-05-27,12:33:00,True
