first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
rodriguezpiñero,,antonio,prueba 37 masc,1:19.75,100, C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
estradamontero,,dario,prueba 37 masc,1:24.29,100, C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
roblesromero,,carlos,prueba 37 masc,1:25.27,100, C.D.N. Sanlucar,espalda,alevin,2023-11-04,17:55:00
paezrodriguez,,fernando,prueba 37 masc,1:26.11,100, C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
baroviña,,hector,prueba 37 masc,1:26.51,100, C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
bermúdeznúñez,,iker,prueba 37 masc,1:28.46,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
rosadominguez,,fabio,prueba 37 masc,1:30.23,100, C.N. Los Barrios,espalda,alevin,2023-11-04,17:55:00
carbonelmontero,,julian,prueba 37 masc,1:30.23,100,12 C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
lópezaldea,,gonzalo,prueba 37 masc,1:32.23,100, C.D.N. Sanlucar,espalda,alevin,2023-11-04,17:55:00
méndezsarria,,ángel,prueba 37 masc,1:34.04,100, C.N. Los Barrios,espalda,alevin,2023-11-04,17:55:00
rodriguezgarcia,,daniel,prueba 37 masc,1:38.40,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
castañedagil,,guillermo,prueba 37 masc,1:40.32,100, C.N. San Fernando,espalda,alevin,2023-11-04,17:55:00
bermudeznuñez,,sergio,prueba 37 masc,1:40.66,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
rambouklarrud,,imran,prueba 37 masc,1:40.71,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
romande,rueda,daniel,prueba 37 masc,1:42.81,100, Club Natacion Jerez,espalda,alevin,2023-11-04,17:55:00
jiménezvidal,,alberto,prueba 37 masc,1:47.23,100, C.D.N. Sanlucar,espalda,alevin,2023-11-04,17:55:00
opreaadrián,,marian,prueba 37 masc,1:47.57,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
villarrodriguez,,sergio,prueba 37 masc,1:50.22,100, C.N. Bahia De Cadiz,espalda,alevin,2023-11-04,17:55:00
barrajonpanao,,daniel,prueba 37 masc,1:50.82,100, C.N. Bahia De Cadiz,espalda,alevin,2023-11-04,17:55:00
vierbuchenmark,,david,prueba 37 masc,1:51.56,100, C.D.N. Ciudad De Algeciras,espalda,alevin,2023-11-04,17:55:00
pérezmacías,,luca,prueba 37 masc,1:52.00,100, C.N. Portuense,espalda,alevin,2023-11-04,17:55:00
