first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
mena,orozco,blanca,11C.D.N. Sanlucar,1:09.07,fem,100,libre,alevin,2023-05-27,18:43:00,True
jimenez,de,fazio,11C.N. Dos Hermanas,1:11.94,fem,100,libre,alevin,2023-05-27,18:43:00,True
utrera,garcia,maria,11C.N. Cadiz,1:13.41,fem,100,libre,alevin,2023-05-27,18:43:00,True
salvador,sabino,luara,11C.N. Alcala,1:15.91,fem,100,libre,alevin,2023-05-27,18:43:00,True
estrada,chávez,natalia,11C.N. Puerto Real,1:16.52,fem,100,libre,alevin,2023-05-27,18:43:00,True
menjibar,fandiño,carolina,11C.N. Bahia De Cadiz,1:18.09,fem,100,libre,alevin,2023-05-27,18:43:00,True
braza,ramos,julia,12C.D.N. Sanlucar,1:18.43,fem,100,libre,alevin,2023-05-27,18:43:00,True
rodríguez,suárez,daniela,11C.N. Dos Hermanas,1:18.72,fem,100,libre,alevin,2023-05-27,18:43:00,True
laguna,díaz,sabrina,12C.N. Alcala,1:19.61,fem,100,libre,alevin,2023-05-27,18:43:00,True
ballesteros,rivera,norah,11C.N. Los Barrios,1:21.10,fem,100,libre,alevin,2023-05-27,18:43:00,True
morales,,adriana,11Dkv Club Natacion Jerez,1:21.97,fem,100,libre,alevin,2023-05-27,18:43:00,True
estevez,terroba,leire,12C.N. San Fernando,1:22.15,fem,100,libre,alevin,2023-05-27,18:43:00,True
alba,peña,lucia,11Dkv Club Natacion Jerez,1:22.18,fem,100,libre,alevin,2023-05-27,18:43:00,True
rengifo,armenta,maría,11C.N. Los Barrios,1:24.76,fem,100,libre,alevin,2023-05-27,18:43:00,True
monge,aixela,valeria,12C.D.N. Ciudad De Algeciras,1:25.74,fem,100,libre,alevin,2023-05-27,18:43:00,True
cabeza,alvarez,laura,11C.N. Ubrique,1:26.02,fem,100,libre,alevin,2023-05-27,18:43:00,True
garcía,villalba,cayetana,12C.N. Caballa - Ciudad De Ceuta,1:26.96,fem,100,libre,alevin,2023-05-27,18:43:00,True
pastrana,uribe,julia,11C.N. Portuense,1:26.98,fem,100,libre,alevin,2023-05-27,18:43:00,True
ríos,pinilla,alejandra,12C.N. Caballa - Ciudad De Ceuta,1:27.09,fem,100,libre,alevin,2023-05-27,18:43:00,True
zuasti,romero,paula,11C.N. Portuense,1:28.01,fem,100,libre,alevin,2023-05-27,18:43:00,True
suarez,pajares,ana,11C.N. Portuense,1:28.02,fem,100,libre,alevin,2023-05-27,18:43:00,True
ali,marquez,maryam,12C.D.N. Ciudad De Algeciras,1:30.57,fem,100,libre,alevin,2023-05-27,18:43:00,True
