name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
iker,merino,rodriguez,C.N.Portuense,2:01.32,masc,200,libre,absoluto,2023-05-27,11:57:00,True
alfonso,blanco,fernandez,C.Nautico Sevilla,2:07.88,masc,200,libre,absoluto,2023-05-27,11:57:00,True
manuel,utrera,garcia,C.N.Cadiz,2:10.85,masc,200,libre,absoluto,2023-05-27,11:57:00,True
samuel,sanz,montes,C.N.San Fernando,2:11.59,masc,200,libre,absoluto,2023-05-27,11:57:00,True
rafael,gonzalez,ceballos,C.N.San Fernando,2:13.01,masc,200,libre,absoluto,2023-05-27,11:57:00,True
felix,raposo,listan,C.D.N.Sanlucar,2:14.65,masc,200,libre,absoluto,2023-05-27,11:57:00,True
alejandro,lópez,galán,C.N.Caballa - Ciudad De Ceuta,2:15.21,masc,200,libre,absoluto,2023-05-27,11:57:00,True
javier,cortabitarte,rodriguez,C.N.Cadiz,2:15.37,masc,200,libre,absoluto,2023-05-27,11:57:00,True
antonio,redondo,zamora,C.D.N.Ciudad De Algeciras,2:16.57,masc,200,libre,absoluto,2023-05-27,11:57:00,True
héctor,gonzález,pradas,C.N.Portuense,2:17.07,masc,200,libre,absoluto,2023-05-27,11:57:00,True
raul,barrajon,panao,C.N.Bahia De Cadiz,2:18.80,masc,200,libre,absoluto,2023-05-27,11:57:00,True
miguel,gil,de,C.N.Los Barrios,2:19.10,masc,200,libre,absoluto,2023-05-27,11:57:00,True
guillermo,castro,garcia,C.N.Union Rinconada,2:20.23,masc,200,libre,absoluto,2023-05-27,11:57:00,True
gabriel,ledesma,,C.N.Estepona,2:21.61,masc,200,libre,absoluto,2023-05-27,11:57:00,True
juan,tuñon,vazquez,C.N.Portuense,2:22.19,masc,200,libre,absoluto,2023-05-27,11:57:00,True
adrian,chornet,fernandez,C.N.Union Rinconada,2:24.17,masc,200,libre,absoluto,2023-05-27,11:57:00,True
miguel,gil,de,C.N.Los Barrios,2:24.45,masc,200,libre,absoluto,2023-05-27,11:57:00,True
antonio,trueba,madueño,C.N.Puerto Real,2:29.93,masc,200,libre,absoluto,2023-05-27,11:57:00,True
samuel,gomez,garcia,C.D.N.Ciudad De Algeciras,2:33.52,masc,200,libre,absoluto,2023-05-27,11:57:00,True
pablo,amaya,perez,C.N.Ubrique,2:33.88,masc,200,libre,absoluto,2023-05-27,11:57:00,True
raul,rios,gonzalez,C.N.Ubrique,2:40.17,masc,200,libre,absoluto,2023-05-27,11:57:00,True
rodrigo,muñoz,rodriguez,DkvClub Natacion Jerez,2:44.43,masc,200,libre,absoluto,2023-05-27,11:57:00,True
