name,first_surname,second_surname,team,race_time,gender,distance,style,category,date,event_time,Piscina Corta
jaime,alonso,flor,C.N.Portuense,2:13.83,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
javier,ruiz,navarro,C.D.N.Ciudad De Algeciras,2:18.95,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
david,macias,fernandez,C.N.Los Barrios,2:22.82,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
iker,martin,castilla,C.N.Los Barrios,2:24.87,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
angel,casado,jurado,C.D.N.Sanlucar,2:28.76,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
guillermo,espinosa,carrasco,C.N.San Fernando,2:32.42,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
jose,caro,salva,C.N.Portuense,2:32.97,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
manuel,utrera,garcia,C.N.Cadiz,2:34.13,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
matis,gonzalez,grigoriu,C.N.Estepona,2:35.03,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
alejandro,sanchez,garcia,C.N.San Fernando,2:35.28,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
raul,barrajon,panao,C.N.Bahia De Cadiz,2:36.45,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
daniel,cepero,paez,C.N.Puerto Real,2:36.53,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
daniel,martinez,jimenez,C.N.Cadiz,2:39.17,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
ruben,rivero,benitez,C.N.Ubrique,2:40.37,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
diego,navas,armenta,C.N.Dos Hermanas,2:41.22,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
alejandro,romero,rios,C.N.Puerto Real,2:44.62,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
saul,tristancho,gonzalez,C.N.San Roque,2:45.80,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
angel,lora,caballero,C.N.Dos Hermanas,2:51.71,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
aitor,corzo,uzquiza,C.N.Alcala,2:52.09,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
alejandro,calderón,gonzález,C.N.Alcala,3:23.53,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
javier,rodriguez,garcía,C.D.N.Ciudad De Algeciras,3:35.25,masc,200,estilos,absoluto,2023-05-27,10:00:00,True
