first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
cardenas,isabella,eva,C.N.Bahia De Cadiz,06,fem,200,estilos,absoluto,2023-05-27,10:15:00
montero,lerida,angela,C.N.Union Rinconada,03,fem,200,estilos,absoluto,2023-05-27,10:15:00
souissi,ayuso,fatima,C.N.Cadiz,93,fem,200,estilos,absoluto,2023-05-27,10:15:00
de,diego,moreno,C.N.San Fernando,10,fem,200,estilos,absoluto,2023-05-27,10:15:00
foncubierta,navas,marina,C.N.Caballa - Ciudad De Ceuta,07,fem,200,estilos,absoluto,2023-05-27,10:15:00
garcia,corzo,concha,C.N.Portuense,07,fem,200,estilos,absoluto,2023-05-27,10:15:00
gallardo,bravo,lara,C.N.Caballa - Ciudad De Ceuta,10,fem,200,estilos,absoluto,2023-05-27,10:15:00
quirós,calderón,daniela,C.D.N.Sanlucar,11,fem,200,estilos,absoluto,2023-05-27,10:15:00
sanchez,ramos,irene,C.N.San Fernando,10,fem,200,estilos,absoluto,2023-05-27,10:15:00
romero,martinez,helena,C.N.Union Rinconada,09,fem,200,estilos,absoluto,2023-05-27,10:15:00
jimenez,de,fazio,C.N.Dos Hermanas,11,fem,200,estilos,absoluto,2023-05-27,10:15:00
martin,schmidt,nadya,C.N.Los Barrios,09,fem,200,estilos,absoluto,2023-05-27,10:15:00
guerrero,maese,andrea,C.D.N.Ciudad De Algeciras,04,fem,200,estilos,absoluto,2023-05-27,10:15:00
cañero,gonzalez,berta,C.N.Bahia De Cadiz,10,fem,200,estilos,absoluto,2023-05-27,10:15:00
heredia,robles,ángela,C.N.Puerto Real,08,fem,200,estilos,absoluto,2023-05-27,10:15:00
herrera,gallardo,carla,C.N.Portuense,10,fem,200,estilos,absoluto,2023-05-27,10:15:00
diaz,bonora,fatima,C.D.N.Ciudad De Algeciras,04,fem,200,estilos,absoluto,2023-05-27,10:15:00
cortiñas,tobajas,victoria,C.N.Dos Hermanas,11,fem,200,estilos,absoluto,2023-05-27,10:15:00
villa,pineda,maria,C.N.San Roque,06,fem,200,estilos,absoluto,2023-05-27,10:15:00
pavon,sierra,aitana,C.N.Estepona,06,fem,200,estilos,absoluto,2023-05-27,10:15:00
martínez,molina,ana,C.N.Puerto Real,08,fem,200,estilos,absoluto,2023-05-27,10:15:00
