first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
ruz,alcaide,virginia,11Club Natacion Jerez,1:09.37,fem,100,espalda,alevin,2023-11-04,18:13:00
ramos,romero,alma,11C.D.N. Sanlucar,1:17.14,fem,100,espalda,alevin,2023-11-04,18:13:00
moreno,bustos,claudia,11C.D.N. Ciudad De Algeciras,1:19.40,fem,100,espalda,alevin,2023-11-04,18:13:00
reyes,garcía,álex,12Club Natacion Jerez,1:27.42,fem,100,espalda,alevin,2023-11-04,18:13:00
monge,aixela,valeria,12C.D.N. Ciudad De Algeciras,1:28.34,fem,100,espalda,alevin,2023-11-04,18:13:00
estevez,terroba,leire,12C.N. San Fernando,1:29.16,fem,100,espalda,alevin,2023-11-04,18:13:00
lópez,montaño,maría,12C.D.N. Sanlucar,1:29.34,fem,100,espalda,alevin,2023-11-04,18:13:00
martin,morales,adriana,11Club Natacion Jerez,1:30.89,fem,100,espalda,alevin,2023-11-04,18:13:00
menjibar,fandiño,carolina,11C.N. Bahia De Cadiz,1:32.08,fem,100,espalda,alevin,2023-11-04,18:13:00
jimenez,martinez,claudia,12C.N. San Fernando,1:32.91,fem,100,espalda,alevin,2023-11-04,18:13:00
jimenez,rubio,lola,12C.N. Los Barrios,1:33.04,fem,100,espalda,alevin,2023-11-04,18:13:00
verdejo,jaen,elena,12C.N. Los Barrios,1:33.86,fem,100,espalda,alevin,2023-11-04,18:13:00
buzon,serrano,genoveva,12C.D.N. Sanlucar,1:34.61,fem,100,espalda,alevin,2023-11-04,18:13:00
antúnez,ruiz,elena,11C.N. Los Barrios,1:35.20,fem,100,espalda,alevin,2023-11-04,18:13:00
preciado,vazquez,valeria,12C.N. Los Barrios,1:37.02,fem,100,espalda,alevin,2023-11-04,18:13:00
ali,marquez,maryam,12C.D.N. Ciudad De Algeciras,1:37.46,fem,100,espalda,alevin,2023-11-04,18:13:00
braza,ramos,julia,12C.D.N. Sanlucar,1:37.57,fem,100,espalda,alevin,2023-11-04,18:13:00
caro,vega,marta,12C.N. Portuense,1:38.04,fem,100,espalda,alevin,2023-11-04,18:13:00
minaya,coello,elena,12C.D.N. Ciudad De Algeciras,1:41.69,fem,100,espalda,alevin,2023-11-04,18:13:00
prian,perez,paula,12Club Natacion Jerez,1:43.00,fem,100,espalda,alevin,2023-11-04,18:13:00
rabinowitz,,emanuelle,12C.N. Los Barrios,1:43.11,fem,100,espalda,alevin,2023-11-04,18:13:00
roman,de,rueda,12Club Natacion Jerez,1:46.36,fem,100,espalda,alevin,2023-11-04,18:13:00
