first_surname,second_surname,name,team,race_time,gender,distance,style,category,date,event_time
mena,orozco,alberto,11C.D.N. Sanlucar,2:25.48,masc,200,libre,alevin,2023-11-04,16:42:00
rodriguez,castro,victor,11C.D.N. Ciudad De Algeciras,2:26.56,masc,200,libre,alevin,2023-11-04,16:42:00
marin,montero,alejandro,11C.N. San Fernando,2:38.19,masc,200,libre,alevin,2023-11-04,16:42:00
paez,rodriguez,fernando,12C.N. San Fernando,2:39.02,masc,200,libre,alevin,2023-11-04,16:42:00
corrales,vidal,de,ClubNatacion Jerez,2:44.31,masc,200,libre,alevin,2023-11-04,16:42:00
rosales,fernandez,javier,11C.N. San Fernando,2:44.76,masc,200,libre,alevin,2023-11-04,16:42:00
agüera,gomez,adrian,11C.N. Los Barrios,2:47.12,masc,200,libre,alevin,2023-11-04,16:42:00
estrada,montero,dario,11C.N. San Fernando,2:49.77,masc,200,libre,alevin,2023-11-04,16:42:00
rondón,andrés,alexis,11C.N. Los Barrios,2:49.98,masc,200,libre,alevin,2023-11-04,16:42:00
bermúdez,núñez,iker,11C.D.N. Ciudad De Algeciras,2:51.99,masc,200,libre,alevin,2023-11-04,16:42:00
carbonel,montero,julian,12C.N. San Fernando,2:53.11,masc,200,libre,alevin,2023-11-04,16:42:00
baro,viña,hector,12C.N. San Fernando,2:54.26,masc,200,libre,alevin,2023-11-04,16:42:00
marquina,fernández,jesús,11C.D.N. Sanlucar,2:54.32,masc,200,libre,alevin,2023-11-04,16:42:00
rosa,dominguez,fabio,11C.N. Los Barrios,2:54.60,masc,200,libre,alevin,2023-11-04,16:42:00
rodriguez,garcia,daniel,12C.D.N. Ciudad De Algeciras,3:01.57,masc,200,libre,alevin,2023-11-04,16:42:00
jiménez,bellido,antonio,11C.N. Portuense,3:02.03,masc,200,libre,alevin,2023-11-04,16:42:00
serrano,fuentes,daniel,11C.D.N. Ciudad De Algeciras,3:04.35,masc,200,libre,alevin,2023-11-04,16:42:00
castañeda,gil,guillermo,11C.N. San Fernando,3:05.16,masc,200,libre,alevin,2023-11-04,16:42:00
gómez,muñoz,alejandro,11C.N. Portuense,3:05.68,masc,200,libre,alevin,2023-11-04,16:42:00
garcia,sanchez,carlos,11C.N. San Fernando,3:05.79,masc,200,libre,alevin,2023-11-04,16:42:00
bermudez,nuñez,sergio,12C.D.N. Ciudad De Algeciras,3:10.62,masc,200,libre,alevin,2023-11-04,16:42:00
